start_time,end_time,dir,label,ip,frame_len_min,frame_diff_msec
20231218_110000,20231218_120000,10,1,37.31.205.161,3000,100
20231218_110000,20231218_120000,30,1,37.31.205.161,3000,100
20231218_110000,20231218_120000,31,1,37.31.205.161,3000,100
20231218_110000,20231218_120000,50,1,37.31.205.161,3000,100
20231218_110000,20231218_120000,51,1,37.31.205.161,3000,100
20231218_110000,20231218_120000,70,1,37.31.205.161,3000,100
20231218_110000,20231218_120000,71,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,10,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,11,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,30,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,31,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,50,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,51,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,70,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,71,1,37.31.205.161,3000,100
20231218_120000,20231218_135900,10,1,37.31.205.161,3000,100
20231218_120000,20231218_135900,11,1,37.31.205.161,3000,100
20231218_120000,20231218_135900,30,1,37.31.205.161,3000,100
20231218_120000,20231218_135900,31,1,37.31.205.161,3000,100
20231218_120000,20231218_135900,50,1,37.31.205.161,3000,100
20231218_120000,20231218_135900,51,1,37.31.205.161,3000,100
20231218_120000,20231218_135900,70,1,37.31.205.161,3000,100
20231218_120000,20231218_135900,71,1,37.31.205.161,3000,100
20231218_140000,20231218_155900,10,1,37.31.205.161,3000,100
20231218_140000,20231218_155900,11,1,37.31.205.161,3000,100
20231218_140000,20231218_155900,30,1,37.31.205.161,3000,100
20231218_140000,20231218_155900,31,1,37.31.205.161,3000,100
20231218_140000,20231218_155900,50,1,37.31.205.161,3000,100
20231218_140000,20231218_155900,51,1,37.31.205.161,3000,100
20231218_140000,20231218_155900,70,1,37.31.205.161,3000,100
20231218_140000,20231218_155900,71,1,37.31.205.161,3000,100
20231218_160000,20231218_175900,10,1,37.31.205.161,3000,100
20231218_160000,20231218_175900,11,1,37.31.205.161,3000,100
20231218_160000,20231218_175900,30,1,37.31.205.161,3000,100
20231218_160000,20231218_175900,31,1,37.31.205.161,3000,100
20231218_160000,20231218_175900,50,1,37.31.205.161,3000,100
20231218_160000,20231218_175900,51,1,37.31.205.161,3000,100
20231218_160000,20231218_175900,70,1,37.31.205.161,3000,100
20231218_160000,20231218_175900,71,1,37.31.205.161,3000,100
20231218_180000,20231218_195900,10,1,37.31.205.161,3000,100
20231218_180000,20231218_195900,11,1,37.31.205.161,3000,100
20231218_180000,20231218_195900,30,1,37.31.205.161,3000,100
20231218_180000,20231218_195900,31,1,37.31.205.161,3000,100
20231218_180000,20231218_195900,50,1,37.31.205.161,3000,100
20231218_180000,20231218_195900,51,1,37.31.205.161,3000,100
20231218_180000,20231218_195900,70,1,37.31.205.161,3000,100
20231218_180000,20231218_195900,71,1,37.31.205.161,3000,100
20231218_200000,20231218_215900,10,1,37.31.205.161,3000,100
20231218_200000,20231218_215900,11,1,37.31.205.161,3000,100
20231218_200000,20231218_215900,30,1,37.31.205.161,3000,100
20231218_200000,20231218_215900,31,1,37.31.205.161,3000,100
20231218_200000,20231218_215900,50,1,37.31.205.161,3000,100
20231218_200000,20231218_215900,51,1,37.31.205.161,3000,100
20231218_200000,20231218_215900,70,1,37.31.205.161,3000,100
20231218_200000,20231218_215900,71,1,37.31.205.161,3000,100
20231218_220000,20231218_235900,10,1,37.31.205.161,3000,100
20231218_220000,20231218_235900,11,1,37.31.205.161,3000,100
20231218_220000,20231218_235900,30,1,37.31.205.161,3000,100
20231218_220000,20231218_235900,31,1,37.31.205.161,3000,100
20231218_220000,20231218_235900,50,1,37.31.205.161,3000,100
20231218_220000,20231218_235900,51,1,37.31.205.161,3000,100
20231218_220000,20231218_235900,70,1,37.31.205.161,3000,100
20231218_220000,20231218_235900,71,1,37.31.205.161,3000,100
20240105_060000,20240105_065900,10,0,37.31.190.252,3000,2000
20240105_060000,20240105_065900,11,0,37.31.190.252,3000,2000
20240105_060000,20240105_065900,30,0,37.31.190.252,3000,2000
