start_time,end_time,dir,label,ip,frame_len_min,frame_diff_msec
20231107_150000,20231107_170000,10,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,11,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,30,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,31,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,50,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,51,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,70,1,37.31.205.161,3000,100
20231107_150000,20231107_170000,71,1,37.31.205.161,3000,100
,,,,,,
,,,,,,
,,,,,,
20231218_110000,20231218_110500,10,0,37.31.205.161,3000,2000
20231218_110000,20231218_110500,11,0,37.31.205.161,3000,2000
20231218_110000,20231218_110500,30,0,37.31.205.161,3000,2000
20231218_110000,20231218_110500,31,0,37.31.205.161,3000,2000
20231218_110000,20231218_110500,50,0,37.31.205.161,3000,2000
20231218_110000,20231218_110500,51,0,37.31.205.161,3000,2000
20231218_110000,20231218_110500,70,0,37.31.205.161,3000,2000
20231218_110000,20231218_110500,71,0,37.31.205.161,3000,2000
20231218_120000,20231218_120500,10,0,37.31.205.161,3000,2000
20231218_120000,20231218_120500,11,0,37.31.205.161,3000,2000
20231218_120000,20231218_120500,30,0,37.31.205.161,3000,2000
20231218_120000,20231218_120500,31,0,37.31.205.161,3000,2000
20231218_120000,20231218_120500,50,0,37.31.205.161,3000,2000
20231218_120000,20231218_120500,51,0,37.31.205.161,3000,2000
20231218_120000,20231218_120500,70,0,37.31.205.161,3000,2000
20231218_120000,20231218_120500,71,0,37.31.205.161,3000,2000
20231218_130000,20231218_130500,10,0,37.31.205.161,3000,2000
20231218_130000,20231218_130500,11,0,37.31.205.161,3000,2000
20231218_130000,20231218_130500,30,0,37.31.205.161,3000,2000
20231218_130000,20231218_130500,31,0,37.31.205.161,3000,2000
20231218_130000,20231218_130500,50,0,37.31.205.161,3000,2000
20231218_130000,20231218_130500,51,0,37.31.205.161,3000,2000
20231218_130000,20231218_130500,70,0,37.31.205.161,3000,2000
20231218_130000,20231218_130500,71,0,37.31.205.161,3000,2000
20231218_140000,20231218_140500,10,0,37.31.205.161,3000,2000
20231218_140000,20231218_140500,11,0,37.31.205.161,3000,2000
20231218_140000,20231218_140500,30,0,37.31.205.161,3000,2000
20231218_140000,20231218_140500,31,0,37.31.205.161,3000,2000
20231218_140000,20231218_140500,50,0,37.31.205.161,3000,2000
20231218_140000,20231218_140500,51,0,37.31.205.161,3000,2000
20231218_140000,20231218_140500,70,0,37.31.205.161,3000,2000
20231218_140000,20231218_140500,71,0,37.31.205.161,3000,2000
20231218_150000,20231218_150500,10,0,37.31.205.161,3000,2000
20231218_150000,20231218_150500,11,0,37.31.205.161,3000,2000
20231218_150000,20231218_150500,30,0,37.31.205.161,3000,2000
20231218_150000,20231218_150500,31,0,37.31.205.161,3000,2000
20231218_150000,20231218_150500,50,0,37.31.205.161,3000,2000
20231218_150000,20231218_150500,51,0,37.31.205.161,3000,2000
20231218_150000,20231218_150500,70,0,37.31.205.161,3000,2000
20231218_150000,20231218_150500,71,0,37.31.205.161,3000,2000
20231218_160000,20231218_160500,10,0,37.31.205.161,3000,2000
